Date_GMT,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Air_Temperature,Pyranometer,Wind_Speed
depth,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m,,,
,3.5056,3.5543,3.5863,3.5703,3.6634,3.7547,3.79,3.807,3.7012,3.6918,3.6147,3.5685,5.641,73.711,0.02334
,3.5288,3.5303,3.5824,3.5421,3.5529,3.5494,3.5771,3.5709,3.5659,3.5487,3.5301,3.6233,3.5782,174.68,3.1253
,3.3619,3.393,3.5704,3.5443,3.5689,3.566,3.5889,3.5789,3.5651,3.5521,3.5299,3.587,1.5238,141.12,0.4593
,4.0216,4.0261,3.96,3.8574,3.8138,3.7891,3.7725,3.7388,3.7172,3.6785,3.6695,3.7628,2.6917,340.37,2.1114
,4.0321,4.0223,4.0551,4.0334,4.005,3.9494,3.9362,3.9221,3.9001,3.8034,3.806,3.8319,5.1424,475.14,0.96396
,4.8323,4.7867,4.6638,4.4491,4.3366,4.2732,4.2536,4.2233,4.2099,4.1733,4.1267,4.1482,8.1936,615.14,0.20473
,5.4381,5.4361,5.4133,5.3013,5.2371,5.2021,5.1867,5.146,5.1259,5.0202,4.8809,4.7619,7.4062,307.44,2.9868
,6.8765,6.8301,6.6186,6.415,6.3549,6.3363,6.3227,6.2231,6.0069,5.9195,5.815,5.6984,8.496,443.19,1.3355
,7.1721,7.0577,6.9956,6.9417,6.9526,6.838,6.7474,6.6495,6.5294,6.3394,6.0691,5.9217,9.6837,92.449,1.213
,6.9404,6.9459,6.9667,6.923,6.9333,6.9098,6.8831,6.7915,6.6573,6.5897,6.508,6.4993,8.7424,111,3.0458
,10.972,10.96,10.94,9.6401,7.5879,7.049,6.886,6.7881,6.7227,6.6495,6.5929,6.5784,9.8481,155.4,0.27636
,10.328,10.319,10.204,9.4746,8.0662,7.2828,7.0154,6.8384,6.7755,6.7283,6.6778,6.6727,8.8267,417.68,3.1105
,12.667,12.657,11.715,10.107,8.6262,7.4898,6.9946,6.8324,6.7935,6.7505,6.7033,6.7087,13.638,419.69,3.0877
,12.599,12.513,12.043,11.786,10.676,7.9943,7.1833,6.9057,6.8384,6.7927,6.7314,6.7464,11.712,804.49,2.3554
,12.085,12.072,11.645,11.434,11.333,9.925,7.5656,7.0052,6.8999,6.8349,6.7804,6.789,8.3968,331.86,1.8454
,14.151,13.915,13.053,12.365,11.785,10.137,8.286,7.2994,6.9426,6.8541,6.7975,6.81,14.393,787.03,1.7083
,19.421,19.354,17.72,13.459,12.342,11.039,8.3402,7.3149,6.9924,6.9367,6.8736,6.8558,12.44,483,2.6988
,16.145,16.156,15.744,15.393,12.701,10.904,8.7897,7.3568,7.0303,6.981,6.9251,6.9087,12.241,165.47,1.238
,18.774,18.779,18.172,16.218,13.618,11.436,8.9437,7.5323,7.1368,7.0309,6.9711,6.9436,14.46,196.73,0.54291
,17.883,17.476,17.077,16.837,14.502,11.793,9.2504,8.0135,7.2542,7.1021,7.0286,6.952,16.453,623.64,1.054
,19.147,19.066,18.808,17.988,15.074,11.939,9.2745,7.9406,7.3213,7.1618,7.0794,7.0032,16.6,344.58,1.5618
,21.29,20.968,20.714,19.808,15.614,11.58,9.6448,8.2752,7.4251,7.2338,7.1302,7.0722,19.588,926.51,2.1583
,18.908,18.896,18.685,18.538,17.462,12.368,9.7305,8.2032,7.4587,7.2796,7.1907,7.1193,15.695,637.87,3.5706
,17.832,17.834,17.582,17.282,16.89,13.975,10.43,8.4964,7.5618,7.3085,7.2206,7.187,16.116,204.99,0
,16.202,15.615,15.307,15.103,14.947,14.823,13.525,9.7775,8.2146,7.5264,7.3277,7.2502,16.338,256.26,1.2795
,17.008,16.26,15.709,15.053,14.757,13.925,11.888,8.6359,7.6345,7.4342,7.304,7.2325,17.276,309.2,0.84456
,17.853,17.534,16.691,15.404,14.476,13.476,11.366,8.3904,7.5689,7.4255,7.3947,7.2883,16.921,507.97,2.6865
,17.669,17.677,17.442,15.707,14.688,13.551,10.773,8.6424,7.6916,7.4901,7.4402,7.3421,13.423,283.5,2.8722
,18.933,18.802,17.31,16.552,15.165,13.494,10.579,8.6427,7.7395,7.593,7.4798,7.4098,17.824,274.05,0.96464
,16.903,16.764,16.62,16.335,15.797,13.644,11.39,8.863,7.8552,7.6604,7.591,7.4986,14.668,625.03,3.1718
,16.87,16.411,15.885,15.713,15.426,13.411,11.29,9.0023,7.8342,7.6791,7.603,7.5308,15.507,754.73,1.2501
,17.67,17.094,16.261,15.719,15.21,13.911,11.528,9.7216,8.3665,7.7674,7.6542,7.6054,16.396,447.02,2.5724
,15.21,15.203,15.163,15.062,15.041,14.591,13.359,10.952,8.8759,7.9591,7.8044,7.6923,15.919,517.45,5.2462
,14.398,14.067,13.926,13.791,13.714,13.563,13.108,10.408,8.5896,7.9518,7.7996,7.7279,16.962,419.89,1.1874
,13.256,13.12,13.076,13.01,12.945,12.853,12.618,10.199,8.4875,7.9412,7.8305,7.7614,14.232,142.98,0.52513
,12.831,12.807,12.795,12.654,12.47,12.331,12.135,11.067,9.1329,8.1507,7.8957,7.7899,14.02,194.58,2.538
,12.646,12.326,12.143,12.079,12.082,12.02,12.031,11.522,8.626,8.1374,8.0138,7.8695,10.295,457.44,1.3766
,11.145,11.119,11.052,10.983,10.994,10.946,11.001,10.934,9.3706,8.1695,8.0148,7.8932,10.757,285.62,2.7248
,9.2969,9.283,9.3086,9.265,9.2726,9.2237,9.2719,9.2465,9.196,8.9081,8.3813,7.9327,7.8915,52.164,0.00252
,9.5912,9.5918,9.6299,9.5893,9.5918,9.5483,9.5916,9.5585,9.4851,9.1618,8.9076,8.0339,11.823,69.859,4.047
,8.7031,8.7047,8.7496,8.7128,8.7239,8.6891,8.7444,8.7307,8.7261,8.6869,8.6607,8.695,7.9242,159.36,7.3946
,7.3626,7.371,7.4071,7.3616,7.3725,7.3364,7.3919,7.3737,7.3647,7.3229,7.2907,7.3077,4.5376,104.1,0.10483
,6.6341,6.6455,6.6807,6.6303,6.636,6.5924,6.6489,6.6314,6.624,6.5899,6.5614,6.587,6.5002,135.78,1.4824
,4.368,4.3736,4.425,4.3752,4.3894,4.3414,4.4023,4.3861,4.3794,4.3486,4.3185,4.3549,2.4385,175.17,4.5172
,3.0812,3.4578,3.5819,3.5611,3.6038,3.6089,3.6849,3.6668,3.6563,3.6538,3.6551,3.8552,-1.6918,91.387,0
,3.5064,3.6312,3.6559,3.6818,3.7381,3.4927,3.4753,3.4921,3.4966,3.5113,3.5189,3.9271,6.0123,78.463,2.7878
,3.3175,3.7309,3.737,3.6335,3.6255,3.5645,3.6763,3.7955,3.774,3.6533,3.673,4.1384,-9.745,74.96,0
,2.5654,3.4964,3.6005,3.508,3.5051,3.4918,3.6538,3.6904,3.677,3.6372,3.668,4.0712,1.5495,32.288,0.0187
,2.5904,3.4104,3.6496,3.6098,3.6194,3.6068,3.6722,3.6391,3.6686,3.6502,3.7298,4.028,4.8878,11.208,3.2561
,2.7724,3.1345,3.2205,3.6145,3.6187,3.6627,3.7183,3.7547,3.7862,3.4623,3.4713,4.1662,5.408,139.62,1.7619
,4.8904,4.8907,4.8991,4.8454,4.8365,4.7937,4.8495,4.7538,4.6536,4.5708,4.5195,4.3195,0.31901,121.89,0.20559
,4.1625,4.0521,4.0864,4.056,4.0748,4.0285,4.0721,4.0542,4.0455,4.0261,4.016,4.1369,7.2595,125.53,0.19745
,3.5303,3.6409,3.8998,3.9237,3.9903,3.9591,3.9792,3.9721,3.9425,3.8999,3.8386,3.8405,8.8021,150.57,2.7249
,5.4024,5.3927,5.3625,5.3189,5.3283,5.2804,5.3165,5.2789,5.2599,5.2067,5.1348,5.1339,5.0397,191.5,1.4543
,5.2844,5.2823,5.3042,5.2683,5.2659,5.2287,5.2829,5.2649,5.2547,5.2227,5.1648,5.0943,5.1482,96.443,2.5808
,5.0538,4.9911,5.0033,4.9726,4.9861,4.9526,5.0074,5.0005,5.0003,4.987,4.941,4.9665,4.5316,67.707,0.02764
,5.7312,5.5037,5.5046,5.4699,5.4514,5.4223,5.4791,5.4584,5.4369,5.4257,5.3671,5.3271,5.663,216.87,0.21253
,5.3843,5.3642,5.2896,5.2571,5.2549,5.2186,5.2738,5.251,5.2331,5.217,5.1297,5.093,3.622,198.9,1.4403
,6.1207,6.1135,6.0728,5.8586,5.6843,5.5611,5.5998,5.5649,5.5405,5.5018,5.4511,5.4446,5.5862,34.841,0.00184
,7.5514,7.4537,6.7681,6.6033,6.5435,6.3539,6.0296,5.8138,5.6796,5.6143,5.5672,5.6,11.743,607.14,1.6168
,8.6483,8.5635,8.4708,7.2184,6.5878,6.2401,6.1055,5.8833,5.8146,5.7424,5.6957,5.7053,6.1086,63.134,0.09921
,8.6568,8.6544,8.6729,8.6174,8.5226,8.351,8.3758,8.1817,7.7264,6.867,6.3683,6.2402,10.663,122.99,3.5557
,11.446,11.391,10.954,9.7235,9.508,9.1231,8.7678,8.2606,7.5841,7.1138,6.852,6.674,10.044,575.84,0
,14.188,13.156,11.696,10.711,9.8139,9.1306,8.5868,7.9935,7.3549,7.0727,6.9739,6.9097,17.035,734.92,0
,15.587,15.586,15.413,11.839,10.046,9.0127,8.5288,7.6959,7.2819,7.148,7.0706,6.989,12.088,483.13,1.1114
,14.311,14.292,14.169,13.919,13.435,9.3035,8.5311,7.9779,7.425,7.273,7.1774,7.0928,10.787,643.59,2.7086
,15.448,15.438,15.09,13.716,11.481,9.5737,8.4985,7.7902,7.4274,7.3216,7.2568,7.2033,14.346,665.76,5.3493
,13.788,13.769,13.728,13.345,12.972,11.115,8.9534,8.2251,7.6096,7.371,7.2876,7.2492,12.743,540.5,3.8054
,12.227,12.232,12.258,12.215,12.128,11.937,11.811,10.121,7.962,7.4856,7.3904,7.3236,10.418,373.72,5.0084
,13.516,13.464,12.889,12.522,12.365,12.174,11.755,10.688,8.9069,7.6838,7.4092,7.3434,12.356,726.72,3.4847
,16.46,16.461,15.404,13.799,12.94,12.269,11.435,9.1604,7.9531,7.6742,7.5584,7.4526,12.867,462.52,3.748
,16.21,15.659,15.323,14.917,13.178,12.279,11.547,10.196,8.4995,7.7941,7.6527,7.534,15.654,669.2,1.9222
,16.899,16.875,16.245,15.763,14.037,12.174,10.889,9.3786,8.2026,7.8714,7.7728,7.6761,13.705,156.78,2.858
,18.89,18.395,16.605,15.686,14.295,12.461,11.429,10.398,8.8604,8.0447,7.883,7.768,16.485,862.14,0.08946
,20.638,20.378,18.307,16.796,14.951,12.709,11.033,9.6187,8.3285,8.0432,7.943,7.865,19.458,377.58,2.7859
,19.06,19.062,18.769,16.155,14.702,12.637,11.522,10.463,8.9144,8.198,8.0609,7.9602,15.825,187,2.6211
,18.433,18.204,17.373,16.686,14.944,13.18,11.253,9.9149,8.7998,8.2432,8.1377,8.03,15.762,374.23,1.1461
,20.142,19.167,17.905,16.488,14.823,12.833,11.08,9.6512,8.6095,8.2764,8.1533,8.0641,18.392,739.31,1.2787
,20.058,19.761,18.394,16.74,15.206,13.07,11.546,9.5865,8.5871,8.2811,8.2113,8.119,18.816,651.17,2.1489
